# CMS-HCC V28 ICD-10 -> HCC crosswalk, 2026 midyear/final model software — source: https://www.cms.gov/files/zip/2026-midyear-final-model-software-python.zip
# 8933 mappings. Columns: code, HCC, label, age/sex condition. Regenerate with scripts/build_reference.py
C32.3	HCC21	Lymphoma and Other Cancers	
C32.8	HCC21	Lymphoma and Other Cancers	
C32.9	HCC21	Lymphoma and Other Cancers	
C33	HCC20	Lung and Other Severe Cancers	
C34.00	HCC20	Lung and Other Severe Cancers	
C34.01	HCC20	Lung and Other Severe Cancers	
C34.02	HCC20	Lung and Other Severe Cancers	
C34.10	HCC20	Lung and Other Severe Cancers	
C34.11	HCC20	Lung and Other Severe Cancers	
C34.12	HCC20	Lung and Other Severe Cancers	
C34.2	HCC20	Lung and Other Severe Cancers	
C34.30	HCC20	Lung and Other Severe Cancers	
C34.31	HCC20	Lung and Other Severe Cancers	
C34.32	HCC20	Lung and Other Severe Cancers	
C34.80	HCC20	Lung and Other Severe Cancers	
C34.81	HCC20	Lung and Other Severe Cancers	
C34.82	HCC20	Lung and Other Severe Cancers	
C34.90	HCC20	Lung and Other Severe Cancers	
C34.91	HCC20	Lung and Other Severe Cancers	
C34.92	HCC20	Lung and Other Severe Cancers	
C37	HCC21	Lymphoma and Other Cancers	
C38.0	HCC20	Lung and Other Severe Cancers	
C38.1	HCC21	Lymphoma and Other Cancers	
C38.2	HCC21	Lymphoma and Other Cancers	
C38.3	HCC21	Lymphoma and Other Cancers	
C38.4	HCC20	Lung and Other Severe Cancers	
C38.8	HCC21	Lymphoma and Other Cancers	
C39.0	HCC21	Lymphoma and Other Cancers	
C39.9	HCC21	Lymphoma and Other Cancers	
C40.00	HCC21	Lymphoma and Other Cancers	
C40.01	HCC21	Lymphoma and Other Cancers	
C40.02	HCC21	Lymphoma and Other Cancers	
C40.10	HCC21	Lymphoma and Other Cancers	
C40.11	HCC21	Lymphoma and Other Cancers	
C40.12	HCC21	Lymphoma and Other Cancers	
C40.20	HCC21	Lymphoma and Other Cancers	
C40.21	HCC21	Lymphoma and Other Cancers	
C40.22	HCC21	Lymphoma and Other Cancers	
C40.30	HCC21	Lymphoma and Other Cancers	
C40.31	HCC21	Lymphoma and Other Cancers	
C40.32	HCC21	Lymphoma and Other Cancers	
C40.80	HCC21	Lymphoma and Other Cancers	
C40.81	HCC21	Lymphoma and Other Cancers	
C40.82	HCC21	Lymphoma and Other Cancers	
C40.90	HCC21	Lymphoma and Other Cancers	
C40.91	HCC21	Lymphoma and Other Cancers	
C40.92	HCC21	Lymphoma and Other Cancers	
C41.0	HCC21	Lymphoma and Other Cancers	
C41.1	HCC21	Lymphoma and Other Cancers	
C41.2	HCC21	Lymphoma and Other Cancers	
C41.3	HCC21	Lymphoma and Other Cancers	
C41.4	HCC21	Lymphoma and Other Cancers	
C41.9	HCC21	Lymphoma and Other Cancers	
C43.0	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C43.10	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C43.111	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C43.112	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C43.121	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C43.122	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C43.20	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C43.21	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C43.22	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C43.30	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C43.31	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C43.39	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C43.4	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C43.51	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C43.52	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C43.59	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C43.60	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C43.61	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C43.62	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C43.70	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C43.71	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C43.72	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C43.8	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C43.9	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C45.0	HCC19	Myelodysplastic Syndromes, Multiple Myeloma, and Other Cancers	
C45.1	HCC19	Myelodysplastic Syndromes, Multiple Myeloma, and Other Cancers	
C45.2	HCC19	Myelodysplastic Syndromes, Multiple Myeloma, and Other Cancers	
C45.7	HCC19	Myelodysplastic Syndromes, Multiple Myeloma, and Other Cancers	
C45.9	HCC19	Myelodysplastic Syndromes, Multiple Myeloma, and Other Cancers	
C46.0	HCC21	Lymphoma and Other Cancers	
C46.1	HCC21	Lymphoma and Other Cancers	
C46.2	HCC21	Lymphoma and Other Cancers	
C46.3	HCC21	Lymphoma and Other Cancers	
C46.4	HCC21	Lymphoma and Other Cancers	
C46.50	HCC21	Lymphoma and Other Cancers	
C46.51	HCC21	Lymphoma and Other Cancers	
C46.52	HCC21	Lymphoma and Other Cancers	
C46.7	HCC21	Lymphoma and Other Cancers	
C46.9	HCC21	Lymphoma and Other Cancers	
C47.0	HCC21	Lymphoma and Other Cancers	
C47.10	HCC21	Lymphoma and Other Cancers	
C47.11	HCC21	Lymphoma and Other Cancers	
C47.12	HCC21	Lymphoma and Other Cancers	
C47.20	HCC21	Lymphoma and Other Cancers	
C47.21	HCC21	Lymphoma and Other Cancers	
C47.22	HCC21	Lymphoma and Other Cancers	
C47.3	HCC21	Lymphoma and Other Cancers	
C47.4	HCC23	Prostate, Breast, and Other Cancers and Tumors	
C47.5	HCC21	Lymphoma and Other Cancers	
C47.6	HCC21	Lymphoma and Other Cancers	
C47.8	HCC21	Lymphoma and Other Cancers	
C47.9	HCC21	Lymphoma and Other Cancers	
C48.0	HCC20	Lung and Other Severe Cancers	
C48.1	HCC20	Lung and Other Severe Cancers	
C48.2	HCC20	Lung and Other Severe Cancers	
C48.8	HCC20	Lung and Other Severe Cancers	
C49.0	HCC21	Lymphoma and Other Cancers	
C49.10	HCC21	Lymphoma and Other Cancers	
C49.11	HCC21	Lymphoma and Other Cancers	
C49.12	HCC21	Lymphoma and Other Cancers	
C49.20	HCC21	Lymphoma and Other Cancers	
