# ICD-10-CM FY2026 billable codes — sources: https://ftp.cdc.gov/pub/health_statistics/nchs/publications/ICD10CM/2026/icd10cm-Code%20Descriptions-2026.zip ; https://ftp.cdc.gov/pub/health_statistics/nchs/publications/ICD10CM/2026/icd10cm-Table%20and%20Index-2026.zip
# 74719 codes (9095 with inclusion terms, 13000 with index terms). Columns: code, description, inclusion terms, index terms. Regenerate with scripts/build_reference.py
A02.24	Salmonella osteomyelitis		Infection, infected, infective(opportunistic) Salmonella(aertrycke) (arizonae) (cholerae-suis) (enteritidis) (gallinarum) (suipestifer) (typhimurium) localized osteomyelitis | Intoxication foodborne due to Salmonella with localized infection(s) osteomyelitis | Osteomyelitis(general) (infective) (localized) (neonatal) (purulent) (septic) (staphylococcal) (streptococcal) (suppurative) (with periostitis) Salmonella(arizonae) (cholerae-suis) (enteritidis) (typhimurium)
A02.25	Salmonella pyelonephritis	Salmonella tubulo-interstitial nephropathy	Disorder(of) tubulo-interstitial(in) Salmonella infection | Infection, infected, infective(opportunistic) Salmonella(aertrycke) (arizonae) (cholerae-suis) (enteritidis) (gallinarum) (suipestifer) (typhimurium) localized pyelonephritis | Intoxication foodborne due to Salmonella with localized infection(s) pyelonephritis | Pyelonephritis in(due to) Salmonella infection
A02.29	Salmonella with other localized infection		Infection, infected, infective(opportunistic) Salmonella(aertrycke) (arizonae) (cholerae-suis) (enteritidis) (gallinarum) (suipestifer) (typhimurium) localized specified NEC | Intoxication foodborne due to Salmonella with localized infection(s) specified NEC
A02.8	Other specified salmonella infections		Fever(inanition) (of unknown origin) (persistent) (with chills) (with rigor) swine | Infection, infected, infective(opportunistic) Salmonella(aertrycke) (arizonae) (cholerae-suis) (enteritidis) (gallinarum) (suipestifer) (typhimurium) with specified manifestation NEC | Intoxication foodborne due to Salmonella with specified manifestation NEC
A02.9	Salmonella infection, unspecified		Infection, infected, infective(opportunistic) Salmonella(aertrycke) (arizonae) (cholerae-suis) (enteritidis) (gallinarum) (suipestifer) (typhimurium) | Infection, infected, infective(opportunistic) Salmonella(aertrycke) (arizonae) (cholerae-suis) (enteritidis) (gallinarum) (suipestifer) (typhimurium) due to food(poisoning) | Intoxication foodborne due to Salmonella | Poisoning(acute) Bacillus B(aertrycke) (cholerae (suis)) (paratyphosus) (suipestifer) | Poisoning(acute) food NEC due to Bacillus(aertrycke) (choleraesuis) (paratyphosus) (suipestifer) | Poisoning(acute) food NEC due to salmonella(aertrycke) (choleraesuis) (enteritidis) (gallinarum) (paratyphi) (suipestifer) | Poisoning(acute) Salmonella(arizonae) (cholerae-suis) (enteritidis) (typhimurium)
A03.0	Shigellosis due to Shigella dysenteriae	Group A shigellosis [Shiga-Kruse dysentery]	Bacillus Shiga's | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) bacillary Schmitz(-Stutzer) | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) bacillary Shiga(-Kruse) | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) bacillary Shigella dysenteriae | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) bacillary Shigella group A | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) Schmitz(-Stutzer) | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) Shiga(-Kruse) | Infection, infected, infective(opportunistic) Bacillus Shiga(-Kruse) | Infection, infected, infective(opportunistic) Shigella dysenteriae | Infection, infected, infective(opportunistic) Shigella group A | Infection, infected, infective(opportunistic) Shigella Schmitz(-Stutzer) | Infection, infected, infective(opportunistic) Shigella schmitzii | Infection, infected, infective(opportunistic) Shigella shigae | Schmitz(-Stutzer) dysentery | Shiga(-Kruse) dysentery | Shiga's bacillus | Shigellosis Group A
A03.1	Shigellosis due to Shigella flexneri	Group B shigellosis	Bacillus Flexner's | Diarrhea, diarrheal(disease) (infantile) (inflammatory) Flexner's(ulcerative) | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) bacillary Flexner | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) bacillary Shigella flexneri | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) bacillary Shigella group B | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) Flexner's | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) Hiss-Russell | Flexner's dysentery | Hiss-Russell dysentery | Infection, infected, infective(opportunistic) Bacillus Flexner's | Infection, infected, infective(opportunistic) Shigella flexneri | Infection, infected, infective(opportunistic) Shigella group B | Shigellosis Group B
A03.2	Shigellosis due to Shigella boydii	Group C shigellosis	Boyd's dysentery | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) bacillary Boyd | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) bacillary Shigella boydii | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) bacillary Shigella group C | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) Boyd's | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) Flexner-Boyd | Flexner-Boyd dysentery | Infection, infected, infective(opportunistic) Shigella boydii | Infection, infected, infective(opportunistic) Shigella group C | Shigellosis Group C
A03.3	Shigellosis due to Shigella sonnei	Group D shigellosis	Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) bacillary Shigella group D | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) bacillary Shigella sonnei | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) bacillary Sonne | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) Sonne | Infection, infected, infective(opportunistic) Shigella group D | Infection, infected, infective(opportunistic) Shigella sonnei | Shigellosis Group D | Sonne dysentery
A03.8	Other shigellosis		Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) bacillary Shigella specified type NEC | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) bacillary specified type NEC | Infection, infected, infective(opportunistic) Shigella specified NEC
A03.9	Shigellosis, unspecified	Bacillary dysentery NOS	Chinese dysentery | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) arthritis bacillary | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) bacillary | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) bacillary arthritis | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) bacillary Shigella | Dysentery, dysenteric(catarrhal) (diarrhea) (epidemic) (hemorrhagic) (infectious) (sporadic) (tropical) Chinese | Enteritis(acute) (diarrheal) (hemorrhagic) (noninfective) bacillary NOS | Infection, infected, infective(opportunistic) Shigella | Sepsis(generalized) (unspecified organism) Shigella | Shigellosis
A04.0	Enteropathogenic Escherichia coli infection		Diarrhea, diarrheal(disease) (infantile) (inflammatory) due to Escherichia coli enteropathogenic | Enteritis(acute) (diarrheal) (hemorrhagic) (noninfective) infectious NOS due to Escherichia coli enteropathogenic
A04.1	Enterotoxigenic Escherichia coli infection		Diarrhea, diarrheal(disease) (infantile) (inflammatory) due to Escherichia coli enterotoxigenic | Enteritis(acute) (diarrheal) (hemorrhagic) (noninfective) infectious NOS due to Escherichia coli enterotoxigenic
A04.2	Enteroinvasive Escherichia coli infection		Diarrhea, diarrheal(disease) (infantile) (inflammatory) due to Escherichia coli enteroinvasive | Enteritis(acute) (diarrheal) (hemorrhagic) (noninfective) infectious NOS due to Escherichia coli enteroinvasive
A04.3	Enterohemorrhagic Escherichia coli infection		Diarrhea, diarrheal(disease) (infantile) (inflammatory) due to Escherichia coli enterohemorrhagic | Enteritis(acute) (diarrheal) (hemorrhagic) (noninfective) infectious NOS due to Escherichia coli enterohemorrhagic
A04.4	Other intestinal Escherichia coli infections	Escherichia coli enteritis NOS	Diarrhea, diarrheal(disease) (infantile) (inflammatory) due to Escherichia coli | Diarrhea, diarrheal(disease) (infantile) (inflammatory) due to Escherichia coli enteroaggregative | Diarrhea, diarrheal(disease) (infantile) (inflammatory) due to Escherichia coli specified NEC | Enteritis(acute) (diarrheal) (hemorrhagic) (noninfective) infectious NOS due to Escherichia coli | Enteritis(acute) (diarrheal) (hemorrhagic) (noninfective) infectious NOS due to Escherichia coli enteroaggregative | Enteritis(acute) (diarrheal) (hemorrhagic) (noninfective) infectious NOS due to Escherichia coli specified NEC
A04.5	Campylobacter enteritis		Diarrhea, diarrheal(disease) (infantile) (inflammatory) due to Campylobacter | Enteritis(acute) (diarrheal) (hemorrhagic) (noninfective) infectious NOS due to Campylobacter | Infection, infected, infective(opportunistic) Campylobacter, intestinal
A04.6	Enteritis due to Yersinia enterocolitica		Arthropathy postinfectious NEC in(due to) enteritis due to Yersinia enterocolitica | Diarrhea, diarrheal(disease) (infantile) (inflammatory) due to Yersinia enterocolitica | Enteritis(acute) (diarrheal) (hemorrhagic) (noninfective) due to Yersinia enterocolitica | Enteritis(acute) (diarrheal) (hemorrhagic) (noninfective) infectious NOS due to Yersinia enterocolitica | Infection, infected, infective(opportunistic) Yersinia enterocolitica(intestinal) | Yersiniosis intestinal
